store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_0001_R2,2026-06-01T12:35:09Z,1459.35
STORE_BLR_002,TXN_0003,2026-06-01T10:43:07Z,841.53
STORE_BLR_002,TXN_0003_R2,2026-06-01T13:43:28Z,1552.91
STORE_BLR_002,TXN_0005,2026-06-01T11:10:51Z,950.53
STORE_BLR_002,TXN_0005_R2,2026-06-01T12:10:39Z,1066.47
STORE_BLR_002,TXN_0006_R2,2026-06-01T13:19:45Z,1002.94
STORE_BLR_002,TXN_0007_R2,2026-06-01T13:25:56Z,1331.72
STORE_BLR_002,TXN_0009,2026-06-01T11:26:30Z,2316.04
STORE_BLR_002,TXN_0009_R2,2026-06-01T12:28:25Z,1488.5
STORE_BLR_002,TXN_0011_R2,2026-06-01T14:56:56Z,1026.47
STORE_BLR_002,TXN_0012,2026-06-01T11:51:26Z,1075.22
STORE_BLR_002,TXN_0012_R2,2026-06-01T12:51:55Z,2417.89
STORE_BLR_002,TXN_0013,2026-06-01T11:52:23Z,1698.64
STORE_BLR_002,TXN_0013_R2,2026-06-01T14:52:42Z,1112.52
STORE_BLR_002,TXN_0014_R2,2026-06-01T13:05:22Z,1163.93
STORE_BLR_002,TXN_0016_R2,2026-06-01T15:14:42Z,1376.11
STORE_BLR_002,TXN_0017_R2,2026-06-01T15:20:33Z,1446.23
STORE_BLR_002,TXN_0018,2026-06-01T12:18:18Z,959.81
STORE_BLR_002,TXN_0018_R2,2026-06-01T14:19:48Z,1053.51
STORE_BLR_002,TXN_0021,2026-06-01T12:43:24Z,827.35
STORE_BLR_002,TXN_0024,2026-06-01T13:13:25Z,2115.83
STORE_BLR_002,TXN_0026,2026-06-01T13:16:18Z,1429.2
STORE_BLR_002,TXN_0028,2026-06-01T13:17:18Z,1126.93
STORE_BLR_002,TXN_0029,2026-06-01T13:11:22Z,547.09
STORE_BLR_002,TXN_0030,2026-06-01T13:25:01Z,737.04
STORE_BLR_002,TXN_0031,2026-06-01T13:14:25Z,843.48
STORE_BLR_002,TXN_0032,2026-06-01T13:16:53Z,2095.29
STORE_BLR_002,TXN_0033,2026-06-01T13:18:17Z,1072.6
STORE_BLR_002,TXN_0035,2026-06-01T13:26:47Z,1845.65
STORE_BLR_002,TXN_0039,2026-06-01T13:47:12Z,862.54
STORE_BLR_002,TXN_0041,2026-06-01T13:50:38Z,1575.91
STORE_BLR_002,TXN_0042,2026-06-01T13:42:02Z,1735.83
STORE_BLR_002,TXN_0043,2026-06-01T13:46:08Z,1574.48
STORE_BLR_002,TXN_0044,2026-06-01T13:54:54Z,1880.88
STORE_BLR_002,TXN_0045,2026-06-01T13:53:11Z,1800.9
STORE_BLR_002,TXN_0047,2026-06-01T14:20:57Z,823.12
STORE_BLR_002,TXN_0051,2026-06-01T15:00:01Z,2012.67
STORE_BLR_002,TXN_0052,2026-06-01T15:30:04Z,1085.05
STORE_BLR_002,TXN_0053,2026-06-01T15:36:18Z,1138.76
STORE_BLR_002,TXN_0054,2026-06-01T15:54:15Z,578.43
STORE_BLR_002,TXN_0055,2026-06-01T16:05:23Z,1169.95
STORE_BLR_002,TXN_0056,2026-06-01T16:15:48Z,1034.2
STORE_BLR_002,TXN_0058,2026-06-01T16:23:25Z,1310.62
STORE_BLR_002,TXN_0060,2026-06-01T17:27:18Z,1696.68
STORE_BLR_002,TXN_0062,2026-06-01T18:13:13Z,908.14
STORE_BLR_002,TXN_0063,2026-06-01T18:18:15Z,1200.11
STORE_BLR_002,TXN_0064,2026-06-01T18:18:16Z,1392.64
STORE_BLR_002,TXN_0067,2026-06-01T18:24:06Z,1286.8
STORE_BLR_002,TXN_0068,2026-06-01T18:33:16Z,2433.51
STORE_BLR_002,TXN_0070,2026-06-01T18:24:23Z,1045.25
STORE_BLR_002,TXN_0071,2026-06-01T18:34:24Z,1206.98
STORE_BLR_002,TXN_0072,2026-06-01T18:48:04Z,1596.9
STORE_BLR_002,TXN_0073,2026-06-01T18:49:07Z,1211.23
STORE_BLR_002,TXN_0075,2026-06-01T19:01:12Z,1218.54
STORE_BLR_002,TXN_0076,2026-06-01T19:13:50Z,691.99
STORE_BLR_002,TXN_0077,2026-06-01T19:05:57Z,1359.35
STORE_BLR_002,TXN_0078,2026-06-01T19:05:46Z,871.23
STORE_BLR_002,TXN_0079,2026-06-01T19:19:17Z,2533.79
STORE_BLR_002,TXN_0080,2026-06-01T19:31:18Z,1072.67
STORE_BLR_002,TXN_0081,2026-06-01T19:33:21Z,1863.92
STORE_BLR_002,TXN_0082,2026-06-01T19:35:44Z,1541.47
STORE_BLR_002,TXN_0083,2026-06-01T19:47:24Z,904.31
STORE_BLR_002,TXN_0084,2026-06-01T19:44:21Z,917.88
STORE_BLR_002,TXN_0085,2026-06-01T19:44:57Z,1454.79
STORE_BLR_002,TXN_0086,2026-06-01T19:50:53Z,1056.81
STORE_BLR_002,TXN_0087,2026-06-01T19:56:55Z,1558.75
STORE_BLR_002,TXN_0088,2026-06-01T20:13:10Z,872.06
STORE_BLR_002,TXN_0090,2026-06-01T20:30:30Z,1581.3
STORE_BLR_002,TXN_0092,2026-06-01T20:50:53Z,1310.46
STORE_BLR_002,TXN_AMBIG_STORE_1,2026-06-01T14:56:32Z,999.0
STORE_BLR_002,TXN_NOMATCH_STORE_1,2026-06-01T20:30:00Z,450.0
